idx,rating,target,pred,correct,title,text
11,5.0,positive,positive,True,Giftcard,"What can you say about a gift card? Well, it was valid. It's a good gift for someone who doesn't like to cook. Arrived promptly."
12,5.0,positive,positive,True,Simple giftcard!,Easy way to gift money for birthdays.
13,5.0,positive,positive,True,Great giftcard,Great gift for online shoppers!
14,5.0,positive,positive,True,Easy..,Reloading is easy. Shopping is easy. Amazon is easy.
15,1.0,negative,negative,True,One Star,Card did not work!!!!
16,5.0,positive,positive,True,Great Product.,I bought this for a Christmas gift.The recipient really liked it.
17,5.0,positive,negative,False,No note attached to sent gift card,"What a pretty gift card presentation , the recipient loved it ! I have one complaint , I took the time and wrote a short note to the recipient of the gift card so she knew who and why the GC was being sent but the note wasn’t attached. I’ve used the option to write a note on many occasions and several times it showed up without the note . I actually had to contact her to ask if she had checked her mail knowing it had arrived ."
18,5.0,positive,positive,True,Gift card,Perfect! Arrived just when stated!
19,5.0,positive,positive,True,Good,Good gift card
20,5.0,positive,positive,True,Good Product,Good Product
21,5.0,positive,positive,True,Good Product,Good Product
22,5.0,positive,positive,True,Good Product,Good Product
23,5.0,positive,positive,True,Good Product,Good Product
24,5.0,positive,positive,True,Good Product,Good Product
25,5.0,positive,positive,True,Good product,Good product
26,5.0,positive,positive,True,Good product,Good product
27,5.0,positive,positive,True,Good Product,Good Product
28,5.0,positive,positive,True,Good Product,Good Product
29,5.0,positive,positive,True,Good,Good
30,5.0,positive,positive,True,Gift card,Perfect for Christmas
31,5.0,positive,positive,True,So easy,Easy to do
32,2.0,negative,negative,True,Mistake,Hit button by mistake n deduction from credit card on file
33,5.0,positive,positive,True,Great gift idea,Always great to order from my home. Amazon rocks!
34,5.0,positive,positive,True,Secure,So easy to use and recipients get to choose how to use it.
35,5.0,positive,positive,True,Birthday surprise!,This was a good birthday surprise!
36,5.0,positive,positive,True,Birthday Gift,"Have given as Holiday, Birthday & Other Occasions remembrances. Always appreciated by the person receiving."
37,5.0,positive,positive,True,Fun,Awesome & they work
38,5.0,positive,positive,True,Reload is super easy.,Really ready to reload gift cards.
39,5.0,positive,positive,True,Convenience of giftabiliy.,A great way to give a gift to family members in physical form. It was so convenient.
40,5.0,positive,positive,True,Great Gift Package,Nice gift packaging for any event
41,5.0,positive,positive,True,Grest Sandwitches !!,Perfect and I even used Amazon Points - was mailed right out.
42,5.0,positive,positive,True,GOOD PIZZA !!,Perfect and I even used Amazon Points - was mailed right out.
43,5.0,positive,positive,True,We like this Store and they stock Tons of different Items for all kinds of Pets,Our cats love this place.
44,5.0,positive,positive,True,Money was loaded on card,Was cute and the money was loaded when it arrived
45,5.0,positive,positive,True,👍,👍
46,5.0,positive,negative,False,Love it!!,This is an online gift card nothing to show sorry🤪
47,5.0,positive,positive,True,Five Stars,Gift cards are always a hit.
48,5.0,positive,positive,True,So cool you can get a free tin with the gift ...,So cool you can get a free tin with the gift card and it comes in 24 hours!! Super awesome. Last year I just printed off the gift cards which looked kind of cheap even though the cards were for substantial amounts. Highly recommend.
49,5.0,positive,positive,True,Reccomend,Really easy to load
50,5.0,positive,positive,True,Little sister surprise,"Same gift as her big sister's, this little one can choose the exact thing she most desires and run to the door for three days in anticipation.  A combined birthday and Christmas present for one who knows her own mind.  Good choice!"
51,1.0,negative,negative,True,"The added value was great, but no more",Purchasing an Amazon gift card came with an added monetary value but no more.<br /><br />A Bronx cheer for you!
52,4.0,positive,positive,True,Perfect gift!,This is near where I work and has a drive through.  Nothing better during these times to give than a gift of good food they can pick up with minimal contact. Gift cards are the way to go these days!
53,4.0,positive,positive,True,Great staff appreciation gift!,What better gift during these times than one to treat yourself.  This is a great gift I gave out to my staff and even those who don't read liked the idea of being able to listen to the audiobooks as well as there being content and other media through Audible.
54,5.0,positive,positive,True,Cute cute cute!,I love the tin! The gift cards can be ordered on different amounts.
55,5.0,positive,positive,True,Five Stars,Simple and easy.
56,5.0,positive,positive,True,As described.,Being able to reload the gift card is a time saver.
57,5.0,positive,positive,True,Perfect gift for any occasion. Let them pick out what they love!,"I mean really, who wouldn't LOVE this?!?  Wonderful gift for any occasion."
58,5.0,positive,positive,True,12 year old daughter loved this gift!,Perfect gift for your kids!
59,5.0,positive,positive,True,Easy to send to an Amazon shopper,This is a simple gift to friends or family. For me it was easy to setup. Took ok only about 30 seconds. I also redeem Visa gifts by giving the gift card to myself. I like there isnt a fee. I do want Amazon to make some cooler cards with my animation when a receiver gets it.
60,5.0,positive,positive,True,Rec'd promo from Amazon when reloading gift card.,"Bonus, rec'd a promo from Amazon for reloading gift card.  Yeah.<br /><br />Gift card was posted to my account quickly."
61,5.0,positive,positive,True,Saves a Little Over time.,Nice way to save a few bucks overtime by reloading your own gift card.
62,5.0,positive,positive,True,What a great company,"Who wouldn't want an Amazon gift card?  The box foretold the contents, lol."
63,1.0,negative,negative,True,A problem to use at drive thru's,"I only used the $50 card one time at Burger King. It was difficult to use. Must be run as credit, not as gift card. No remaining balance is given at the end of the transaction. And although it's on me, I misplaced or lost this card after only spending about $6 of it. I was hoping that the seller could provide me with the full card number so that I could at least use it online for other purchases. They failed to respond. I have the receipt from BK, but it only shows the last 4 numbers. There isn't a way of contacting happy cards customer service online that I could figure out. I wish I'd just stuck with credit cards. A lot safer."
64,5.0,positive,positive,True,A gift card does make a great gift for a tweenager.,"We all know the kid who wants nothing. Or actually wants everything but nothing is good enough. YES,YES,the secret weapon. A AMAZON GIFT CARD!!  You pulled it off. You showed your love and you are the best and greatest. Happy Birthday to just because,You are the BEST!!"
65,5.0,positive,positive,True,Nice to have,"This comes in  very handy, and makes the guilt less"
66,5.0,positive,positive,True,Excellent Gift,"Who would not like an Amazon Gift Card?  Makes everyone I give them, happy!"
67,5.0,positive,positive,True,Yay so easy!,So easy! No scraping!
68,5.0,positive,positive,True,:),easy to use
69,5.0,positive,positive,True,10/10,works great
70,5.0,positive,positive,True,Perfect for a birthday 🎂,Another nice gift box from Amazon. With the world the way it is now I had to send a gift rather than going to a party. And Amazon has a good selection of gift boxes and fast shipping so my nephew was happy when he received the card in the mail.
71,5.0,positive,positive,True,Perfect!,Bought this for a gift and was very happy it shipped quickly and they received it just in time! Amazon is awesome! 🤩
72,5.0,positive,positive,True,Gift box nice!,Love the gift box. So much j NB icee than just handing a gift card to the grandkids.
73,5.0,positive,positive,True,It was soooo easy,It was a nice way to give a present
74,5.0,positive,positive,True,great,great buy
75,5.0,positive,positive,True,Amazon Thinks of Everything!,GREAT idea!  I was so happy to have these on hand for the Holidays!
76,5.0,positive,positive,True,Amazon lover giftee?  Buy it!,So gift card for certain sum.  No service fee.  Lively metal gift box - yes..... I said metal.  What is not to love about this???!<br /><br />Well done Amazon.  Well done.
77,5.0,positive,positive,True,Timing,Great timing.
78,5.0,positive,positive,True,Was easy to do,Easy to use
79,5.0,positive,positive,True,PENGUINS,So so cute!
80,5.0,positive,positive,True,Believe this is the best gift to give !,The recipient can choose what they want so the giver has less chance of a mistake.
81,5.0,positive,positive,True,convenient,A great and convenient gift idea-price is right too!
82,5.0,positive,positive,True,Five Stars,The gift card came in a pretty box.<br />Thanks Amozan.
83,5.0,positive,positive,True,Best gift for someone you don’t know what to get,This was for a gift
84,5.0,positive,positive,True,Great value,Made my shopping much better good value
85,5.0,positive,positive,True,Sweet gift!,I sent this to my brother and he couldn't stop talking about it. This boxes puts a little more nice into a gift. Very pretty!
86,5.0,positive,positive,True,Amazing,It can be used for a variety of things.
87,5.0,positive,positive,True,Great Holder,Great holder for gift cards
88,5.0,positive,positive,True,Gift card,Makes these so easy for any holiday and especially stops buying something people do not like
89,5.0,positive,positive,True,Starbuck gift card,My friend like the gift card like the sweater for holiday card
90,5.0,positive,positive,True,Good litte thank-you gifts,"I'm happy they did not cost me more than their face value to buy. I gave them out as a nice thank you to those who helped me with small things around my house. I sent them in the mail as a surprise, knowing money or gifts was not necessary. I recommend them."
91,3.0,negative,negative,True,Okay as a gift,"After I bought several I realized I could have sent ""gift"" money via text without the fees or wait."
92,5.0,positive,positive,True,Good gift,"Those who already have everything, they can buy an audible book, an old rerun of a favorite movie, some little thing they may want, or whatever as a gift for any occasion. I recommend."
93,5.0,positive,positive,True,So convenient.,"Arrived on time, in perfect shape, and best of all the person receiving the gift can buy whatever they want. One size fits all!"
94,5.0,positive,positive,True,Just what was ordered.,Made holiday shopping easy!
95,5.0,positive,positive,True,Can Do It From Home,Usually I either receive an Amazon gift card as a birthday and/or Christmas gift or I purchase them at a store. Then it's very easy to add the amount to my gift card balance using my cell phone. Well I was stuck inside for several days due to a blizzard and I bought quite a few books then due to a travel ban I could not go to the store to purchase a gift card.<br />So after checking my Gift Card Balance I saw that I had overindulged and it needed to be topped up. One of the options under Manage Your Balance was to Reload Your Balance. I had never used this option but decided to try it. It was so easy to do and I didn't have to leave the comfort of my home. I will be using it again in the future.
96,5.0,positive,positive,True,Love it!,Love my card!!
97,5.0,positive,positive,True,Easy to use,It’s easy to use and very convenient. I would definitely consider refill more in the future
98,3.0,negative,positive,False,Easy to use,Very easy to use. I wish I knew about it earlier
99,5.0,positive,positive,True,Perfect gift sent I a lovely container,Sent in a lovely container
